anyo,id_territori,territori,nivel_territorial,sexe,valor
1998,,Borrassà,municipi,Dones,250
1998,,Borrassà,municipi,Total,489
1998,,Borredà,municipi,Homes,221
1998,,Borredà,municipi,Dones,236
1998,,Borredà,municipi,Total,457
1998,,Bossòst,municipi,Homes,415
1998,,Bossòst,municipi,Dones,406
1998,,Bossòst,municipi,Total,821
1998,,Bot,municipi,Homes,434
1998,,Bot,municipi,Dones,424
1998,,Bot,municipi,Total,858
1998,,Botarell,municipi,Homes,264
1998,,Botarell,municipi,Dones,266
1998,,Botarell,municipi,Total,530
1998,,Bovera,municipi,Homes,209
1998,,Bovera,municipi,Dones,199
1998,,Bovera,municipi,Total,408
1998,,Bràfim,municipi,Homes,276
1998,,Bràfim,municipi,Dones,291
1998,,Bràfim,municipi,Total,567
1998,,Breda,municipi,Homes,1664
1998,,Breda,municipi,Dones,1590
1998,,Breda,municipi,Total,3254
1998,,"Bruc, el",municipi,Homes,483
1998,,"Bruc, el",municipi,Dones,445
1998,,"Bruc, el",municipi,Total,928
1998,,"Brull, el",municipi,Homes,104
1998,,"Brull, el",municipi,Dones,87
1998,,"Brull, el",municipi,Total,191
1998,,Brunyola i Sant Martí Sapresa,municipi,Homes,207
1998,,Brunyola i Sant Martí Sapresa,municipi,Dones,198
1998,,Brunyola i Sant Martí Sapresa,municipi,Total,405
1998,,Cabacés,municipi,Homes,177
1998,,Cabacés,municipi,Dones,160
1998,,Cabacés,municipi,Total,337
1998,,Cabanabona,municipi,Homes,48
1998,,Cabanabona,municipi,Dones,52
1998,,Cabanabona,municipi,Total,100
1998,,Cabanelles,municipi,Homes,122
1998,,Cabanelles,municipi,Dones,98
1998,,Cabanelles,municipi,Total,220
1998,,Cabanes,municipi,Homes,394
1998,,Cabanes,municipi,Dones,389
1998,,Cabanes,municipi,Total,783
1998,,"Cabanyes, les",municipi,Homes,268
1998,,"Cabanyes, les",municipi,Dones,237
1998,,"Cabanyes, les",municipi,Total,505
1998,,Cabó,municipi,Homes,67
1998,,Cabó,municipi,Dones,53
1998,,Cabó,municipi,Total,120
1998,,Cabra del Camp,municipi,Homes,275
1998,,Cabra del Camp,municipi,Dones,233
1998,,Cabra del Camp,municipi,Total,508
1998,,Cabrera d'Anoia,municipi,Homes,217
1998,,Cabrera d'Anoia,municipi,Dones,167
1998,,Cabrera d'Anoia,municipi,Total,384
1998,,Cabrera de Mar,municipi,Homes,1809
1998,,Cabrera de Mar,municipi,Dones,1752
1998,,Cabrera de Mar,municipi,Total,3561
1998,,Cabrils,municipi,Homes,1992
1998,,Cabrils,municipi,Dones,2120
1998,,Cabrils,municipi,Total,4112
1998,,Cadaqués,municipi,Homes,908
1998,,Cadaqués,municipi,Dones,970
1998,,Cadaqués,municipi,Total,1878
1998,,Calaf,municipi,Homes,1499
1998,,Calaf,municipi,Dones,1556
1998,,Calaf,municipi,Total,3055
1998,,Calafell,municipi,Homes,5338
1998,,Calafell,municipi,Dones,5238
1998,,Calafell,municipi,Total,10576
1998,,Calders,municipi,Homes,365
1998,,Calders,municipi,Dones,333
1998,,Calders,municipi,Total,698
1998,,Caldes d'Estrac,municipi,Homes,858
1998,,Caldes d'Estrac,municipi,Dones,950
1998,,Caldes d'Estrac,municipi,Total,1808
1998,,Caldes de Malavella,municipi,Homes,1888
1998,,Caldes de Malavella,municipi,Dones,1864
1998,,Caldes de Malavella,municipi,Total,3752
1998,,Caldes de Montbui,municipi,Homes,6261
1998,,Caldes de Montbui,municipi,Dones,6412
1998,,Caldes de Montbui,municipi,Total,12673
1998,,Calella,municipi,Homes,5800
1998,,Calella,municipi,Dones,6387
1998,,Calella,municipi,Total,12187
1998,,Calldetenes,municipi,Homes,950
1998,,Calldetenes,municipi,Dones,922
1998,,Calldetenes,municipi,Total,1872
1998,,Callús,municipi,Homes,658
1998,,Callús,municipi,Dones,676
1998,,Callús,municipi,Total,1334
1998,,Calonge de Segarra,municipi,Homes,99
1998,,Calonge de Segarra,municipi,Dones,89
1998,,Calonge de Segarra,municipi,Total,188
1998,,Calonge i Sant Antoni,municipi,Homes,3126
1998,,Calonge i Sant Antoni,municipi,Dones,3100
1998,,Calonge i Sant Antoni,municipi,Total,6226
1998,,Camarasa,municipi,Homes,448
1998,,Camarasa,municipi,Dones,445
1998,,Camarasa,municipi,Total,893
1998,,Camarles,municipi,Homes,1463
1998,,Camarles,municipi,Dones,1481
1998,,Camarles,municipi,Total,2944
1998,,Cambrils,municipi,Homes,9114
1998,,Cambrils,municipi,Dones,9271
1998,,Cambrils,municipi,Total,18385
1998,,Camós,municipi,Homes,314
1998,,Camós,municipi,Dones,304
