id_tipo_delito,codigo,descripcio,titol_cp,categoria,nivel_tipologia,fuente
142,223,INFRACCIONS EN MOVIMENT (VEHICLES),,,detalle,gub
143,242,IMMOBILITZACIONS /DESIMMOBILITZACIONS,,,detalle,gub
144,470,"ALTRES INTERVENCIONS DE P, ADMINISTRATIVA",,,detalle,gub
145,203,SENYALS AUTOMATITZADES,,,detalle,gub
146,302,"ASSISTÈNCIA A CONDUCTORS EN V, P,",,,detalle,gub
147,201,INCIDÈNCIES AMB PERILL PEL TRÀNSIT,,,detalle,gub
148,0,INCENDIS,,,detalle,gub
149,440,ANIMALS DE COMPANYIA,,,detalle,gub
150,650,VIGILÀNCIA POLICIAL,,,detalle,gub
151,700,ACTIVITAT AMB PRESOS,,,detalle,gub
152,21M,ACCIDENT PROCEDENT PASSAREL·LA CME,,,detalle,gub
153,680,"ALTRES ACTUACIONS DE S, C,",,,detalle,gub
154,202,RESTRICCIONS TEMPORALS DE TRÀNSIT,,,detalle,gub
155,511,VANDALISME,,,detalle,gub
156,100,ÀMBIT DE PROTECCIÓ DEL MENOR,,,detalle,gub
157,303,ASSISTÈNCIA A MALALTS MENTALS,,,detalle,gub
158,62,AVARIES DE SERVEIS MUNICIPALS,,,detalle,gub
159,660,VIOLÈNCIA DOMÈSTICA,,,detalle,gub
160,442,ALTRES INCIDÈNCIES AMB ANIMALS,,,detalle,gub
161,61,AVARIES DE SERVEIS PÚBLICS,,,detalle,gub
162,241,SUPORTS,,,detalle,gub
163,70,SINISTRES EN EDIFICIS,,,detalle,gub
164,800,FOGUERES / BARBACOES,,,detalle,gub
165,422,INSPECCIONS / CONTROLS EN LOCALS,,,detalle,gub
166,830,ALTRES ACTUACIONS EN MEDI AMBIENT,,,detalle,gub
167,620,ESTUPEFAENTS / PSICOTROPICS,,,detalle,gub
168,480,ALARMES D'INCENDI / ROBATORI,,,detalle,gub
169,600,COL·LBORACIÓ AMB AUTORITAT JUDICIAL / POLICIAL,,,detalle,gub
170,421,INFRACCIONS EN LOCALS,,,detalle,gub
171,670,AGRESSIONS,,,detalle,gub
172,441,ANIMALS / INSECTES PERILLOSOS,,,detalle,gub
173,305,COL·LABORACIÓ AMB ALTRES SERVEIS,,,detalle,gub
174,640,INFRACCIONS D'ESTRANGERS,,,detalle,gub
175,20,PLUJA TORRENCIAL,,,detalle,gub
176,513,CONFLICTES EN LOCALS,,,detalle,gub
177,530,DELICTES CONTRA L'ORDRE PÚBLIC,,,detalle,gub
178,500,MANIFESTACIONS / CONCENTRACIONS,,,detalle,gub
179,40,TRANSPORT PÚBLIC,,,detalle,gub
180,10,EXPLOSIONS,,,detalle,gub
181,21,VENTS FORTS,,,detalle,gub
182,451,OCUPACIONS D'ESPAIS PÚBLICS,,,detalle,gub
183,630,CONTRA LA LLIBERTAT SEXUAL,,,detalle,gub
184,30,MATÈRIES PERILLOSES,,,detalle,gub
185,401,MOLESTIES PER GENERADORS,,,detalle,gub
186,611,ACTES CONTRA LA PROPIETAT PÚBLICA,,,detalle,gub
187,810,ABOCAMENT DE RESIDUS,,,detalle,gub
188,430,ESPECTACLES EN ESPAIS PÚBLICS,,,detalle,gub
189,21B,ACCIDENT REBUT PEL 080 (Recodificar),,,detalle,gub
190,450,OBRES / TREBALLS EN ESPAIS PÚBLICS,,,detalle,gub
191,50,ATEMPTATS,,,detalle,gub
192,22,NEU I GEL,,,detalle,gub
193,250,CONDUCCIONS I ACOMPANYAMENTS,,,detalle,gub
194,63,EDIFICIS OFICIALS,,,detalle,gub
195,820,CAÇA / PESCA / FLORA / FAUNA,,,detalle,gub
196,23,COMUNICATS D'EMERGÈNCIA,,,detalle,gub
197,60,SUBMINISTRAMENTS BÀSICS,,,detalle,gub
198,512,TRIBUS URBANES,,,detalle,gub
199,102,REFORMA,,,detalle,gub
200,101,ÀMBIT EDUCATIU,,,detalle,gub
201,520,OCUPACIONS IL·LÍCITES,,,detalle,gub
202,460,INCIDÈNCIES D'ALIMENTS,,,detalle,gub
203,212,ACCIDENTS DE TRANSIT AMB MATERIES PERILLOSSES,,,detalle,gub
204,489,PROVES DEL SISTEMA,,,detalle,gub
205,710,CUSTÒDIES,,,detalle,gub
206,631,CONTRA ELS DRETS DELS TREBALLADORS,,,detalle,gub
207,304,ASSISTÈNCIA EN LES PLATGES,,,detalle,gub
208,-1,Desconegut,,,detalle,gub
209,621,DELICTES ALIMENTARIS,,,detalle,gub
210,720,INCIDÈNCIES AMB PRESOS I DETINGUTS,,,detalle,gub
211,999,SENSE IDENTIFICAR,,,detalle,gub
212,90,TRASLLAT D'ORGANS,,,detalle,gub
213,80,SISMES,,,detalle,gub
214,940,FUITES - PRODUCTES QUÍMICS,,,detalle,gub
215,21S,ACCIDENT PROCEDENT PASSAREL·LA SEM,,,detalle,gub
216,900,AVARIA TÈCNICA,,,detalle,gub
217,612,ACTES CONTRA LA PROPIETAT,,,detalle,gub
218,962,ASSISTÈNCIA TÈCNICA,,,detalle,gub
219,950,SALVAMENTS,,,detalle,gub
220,911,FOC INTERIOR,,,detalle,gub
221,960,ASSISTÈNCIA TÈCNICA,,,detalle,gub
222,970,ALTRES,,,detalle,gub
223,062,AVARIES DE SERVEIS MUNICIPALS,,,detalle,gub
224,061,AVARIES DE SERVEIS PÚBLICS,,,detalle,gub
225,000,INCENDIS,,,detalle,gub
226,050,ATEMPTATS,,,detalle,gub
227,022,NEU I GEL,,,detalle,gub
228,070,SINISTRES EN EDIFICIS,,,detalle,gub
229,040,TRANSPORT PÚBLIC,,,detalle,gub
230,063,EDIFICIS OFICIALS,,,detalle,gub
231,021,VENTS FORTS,,,detalle,gub
232,020,PLUJA TORRENCIAL,,,detalle,gub
233,060,SUBMINISTRAMENTS BÀSICS,,,detalle,gub
234,023,COMUNICATS D'EMERGÈNCIA,,,detalle,gub
235,030,MATÈRIES PERILLOSES,,,detalle,gub
236,010,EXPLOSIONS,,,detalle,gub
237,961,ASSISTÈNCIA TÈCNICA,,,detalle,gub
238,920,FOC EXTERIOR,,,detalle,gub
239,080,SISMES,,,detalle,gub
240,213,ACCIDENTS (GUB-CME) (CME-GUB),,,detalle,gub
241,090,TRASLLAT D'ORGANS,,,detalle,gub
242,212,ACCIDENTS  DE TRANSIT AMB MATERIES PERILLOSSES,,,detalle,gub
243,224,INFRACCIONS EN MOVIMENT (VEHICLES),,,detalle,gub
244,300,ASSISTÈNCIA  A PERSONES EN EDIFICI,,,detalle,gub
245,302,ASSISTÈNCIA A CONDUCTORS EN V. P.,,,detalle,gub
246,305,COL·LABORACIONS AMB ALTRES SERVEIS,,,detalle,gub
247,310,COL·LECTIUS VULNERABLES,,,detalle,gub
248,470,ALTRES INTERVENCIONS DE P. ADMINISTRATIVA,,,detalle,gub
249,21M,ACCIDENTS REBUTS PER PASSAREL·LA CME,,,detalle,gub
250,311,CIVITAS,,,detalle,gub
251,,1 Homicidio y sus formas,,,categoria,ministerio_ine
252,,1. CONTRA LAS PERSONAS,,,categoria,ministerio_ine
253,,1.1 Homicidio,,,subcategoria,ministerio_ine
254,,1.1.-Homicidios dolosos/asesinatos,,,subcategoria,ministerio_ine
